"Дата";"Регион";"Смертей за день"
06.03.2022;Самарская обл.;15
07.10.2020;Москва;41
18.02.2022;Оренбургская обл.;5
05.08.2021;Москва;68
31.01.2022;Челябинская обл.;8
19.10.2021;Санкт-Петербург;68
19.02.2022;Оренбургская обл.;8
24.02.2022;Челябинская обл.;24
29.04.2021;Москва;56
16.02.2022;Самарская обл.;18
08.02.2022;Новосибирская обл.;15
07.02.2022;Ростовская обл.;6
01.02.2022;Саха (Якутия);3
25.09.2021;Москва;63
26.02.2022;Воронежская обл.;15
01.05.2021;Москва;59
20.02.2022;Оренбургская обл.;2
05.02.2022;Ростовская обл.;12
06.03.2022;Башкортостан;17
15.02.2022;Самарская обл.;16
20.02.2022;Свердловская обл.;9
23.05.2020;Москва;67
31.01.2022;Пермский край;15
20.07.2021;Москва;101
28.10.2021;Санкт-Петербург;70
24.11.2020;Санкт-Петербург;80
04.03.2022;Нижегородская обл.;11
27.02.2022;Воронежская обл.;18
18.02.2022;Краснодарский край;13
21.02.2022;Татарстан;6
06.03.2022;Санкт-Петербург;65
13.02.2022;Самарская обл.;14
16.01.2022;Московская обл.;41
11.02.2022;Оренбургская обл.;4
14.11.2021;Санкт-Петербург;80
11.12.2021;Москва;86
06.11.2021;Санкт-Петербург;86
06.12.2021;Москва;91
16.11.2021;Санкт-Петербург;78
07.02.2022;Новосибирская обл.;12
25.10.2021;Московская обл.;36
05.02.2022;Алтайский край;22
25.02.2022;Челябинская обл.;20
03.03.2022;Нижегородская обл.;12
19.01.2021;Москва;84
14.02.2022;Иркутская обл.;13
21.01.2021;Санкт-Петербург;79
27.05.2021;Москва;58
22.01.2021;Санкт-Петербург;59
28.02.2022;Нижегородская обл.;18
07.03.2022;Башкортостан;12
02.03.2022;Нижегородская обл.;9
18.10.2021;Санкт-Петербург;67
07.03.2022;Санкт-Петербург;59
27.02.2022;Нижегородская обл.;18
15.01.2021;Санкт-Петербург;72
30.04.2020;Москва;65
16.10.2021;Санкт-Петербург;67
28.11.2021;Москва;95
05.02.2022;Архангельская обл.;2
06.11.2021;Московская обл.;49
21.04.2020;Москва;29
28.04.2020;Москва;44
15.05.2021;Москва;58
15.02.2022;Краснодарский край;14
08.01.2022;Москва;69
24.01.2021;Москва;74
02.11.2021;Санкт-Петербург;83
23.12.2021;Москва;77
23.01.2021;Санкт-Петербург;73
20.02.2022;Удмуртия;13
08.03.2022;Башкортостан;11
21.02.2022;Оренбургская обл.;6
27.02.2022;Москва;81
17.02.2022;Иркутская обл.;15
14.01.2021;Санкт-Петербург;83
26.02.2022;Алтайский край;24
22.01.2021;Москва;72
02.02.2022;Свердловская обл.;12
24.10.2021;Московская обл.;33
02.03.2022;Москва;81
09.02.2022;Краснодарский край;13
31.01.2022;ХМАО – Югра;4
02.02.2022;Красноярский край;14
08.01.2021;Санкт-Петербург;55
19.02.2022;Иркутская обл.;15
19.12.2021;Москва;81
10.01.2021;Санкт-Петербург;50
08.02.2022;Архангельская обл.;0
05.03.2022;Нижегородская обл.;10
09.03.2022;Башкортостан;6
09.01.2021;Санкт-Петербург;69
22.02.2022;Воронежская обл.;20
03.02.2022;Воронежская обл.;9
19.02.2022;Удмуртия;15
07.01.2021;Санкт-Петербург;69
08.12.2021;Москва;90
29.09.2021;Москва;65
11.01.2021;Санкт-Петербург;42
13.01.2021;Санкт-Петербург;78
28.02.2022;Воронежская обл.;14
11.02.2022;Башкортостан;18
02.03.2022;Пермский край;11
19.02.2022;Архангельская обл.;0
01.03.2022;Нижегородская обл.;10
04.02.2022;Ростовская обл.;6
